Sr. No.,UNDERLYING,SYMBOL,token,exch,id
1,ABB India Limited,ABB,17903,NSE,NSE|17903
2,ACC Limited,ACC,1465,NSE,NSE|1465
3,APL Apollo Tubes Limited,APLAPOLLO,25780,NSE,NSE|25780
4,AU Small Finance Bank Limited,AUBANK,21238,NSE,NSE|21238
5,Aarti Industries Limited,AARTIIND,7,NSE,NSE|7
6,Abbott India Limited,ABBOTINDIA,17903,NSE,NSE|17903
7,Adani Energy Solutions Limited,ADANIENSOL,10217,NSE,NSE|10217
8,Adani Enterprises Limited,ADANIENT,25,NSE,NSE|25
9,Adani Green Energy Limited,ADANIGREEN,3563,NSE,NSE|3563
10,Adani Ports and Special Economic Zone Limited,ADANIPORTS,15083,NSE,NSE|15083
11,Adani Total Gas Limited,ATGL,6066,NSE,NSE|6066
12,Aditya Birla Capital Limited,ABCAPITAL,21614,NSE,NSE|21614
13,Aditya Birla Fashion and Retail Limited,ABFRL,30108,NSE,NSE|30108
14,Alkem Laboratories Limited,ALKEM,11703,NSE,NSE|11703
15,Ambuja Cements Limited,AMBUJACEM,1270,NSE,NSE|1270
16,Angel One Limited,ANGELONE,324,NSE,NSE|324
17,Apollo Hospitals Enterprise Limited,APOLLOHOSP,157,NSE,NSE|157
18,Apollo Tyres Limited,APOLLOTYRE,163,NSE,NSE|163
19,Ashok Leyland Limited,ASHOKLEY,212,NSE,NSE|212
20,Asian Paints Limited,ASIANPAINT,236,NSE,NSE|236
21,Astral Limited,ASTRAL,14418,NSE,NSE|14418
22,Atul Limited,ATUL,30023,NSE,NSE|30023
23,Aurobindo Pharma Limited,AUROPHARMA,275,NSE,NSE|275
24,Avenue Supermarts Limited,DMART,19913,NSE,NSE|19913
25,Axis Bank Limited,AXISBANK,5900,NSE,NSE|5900
26,BIRLASOFT LIMITED,BSOFT,6994,NSE,NSE|6994
27,BSE Limited,BSE,3001,NSE,NSE|3001
28,Bajaj Auto Limited,BAJAJ-AUTO,16669,NSE,NSE|16669
29,Bajaj Finance Limited,BAJFINANCE,317,NSE,NSE|317
30,Bajaj Finserv Limited,BAJAJFINSV,16675,NSE,NSE|16675
31,Balkrishna Industries Limited,BALKRISIND,335,NSE,NSE|335
32,Bandhan Bank Limited,BANDHANBNK,2263,NSE,NSE|2263
33,Bank of Baroda,BANKBARODA,4668,NSE,NSE|4668
34,Bank of India,BANKINDIA,4745,NSE,NSE|4745
35,Bata India Limited,BATAINDIA,371,NSE,NSE|371
36,Berger Paints (I) Limited,BERGEPAINT,404,NSE,NSE|404
37,Bharat Electronics Limited,BEL,383,NSE,NSE|383
38,Bharat Forge Limited,BHARATFORG,422,NSE,NSE|422
39,Bharat Heavy Electricals Limited,BHEL,438,NSE,NSE|438
40,Bharat Petroleum Corporation Limited,BPCL,526,NSE,NSE|526
41,Bharti Airtel Limited,BHARTIARTL,10604,NSE,NSE|10604
42,Biocon Limited,BIOCON,11373,NSE,NSE|11373
43,Bosch Limited,BOSCHLTD,2181,NSE,NSE|2181
44,Britannia Industries Limited,BRITANNIA,547,NSE,NSE|547
45,CESC Limited,CESC,628,NSE,NSE|628
46,CG Power and Industrial Solutions Limited,CGPOWER,760,NSE,NSE|760
47,Can Fin Homes Limited,CANFINHOME,583,NSE,NSE|583
48,Canara Bank,CANBK,10794,NSE,NSE|10794
49,Central Depository Services (India) Limited,CDSL,21174,NSE,NSE|21174
50,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,637,NSE,NSE|637
51,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,685,NSE,NSE|685
52,Cipla Limited,CIPLA,694,NSE,NSE|694
53,City Union Bank Limited,CUB,4064,NSE,NSE|4064
54,Coal India Limited,COALINDIA,20374,NSE,NSE|20374
55,Coforge Limited,COFORGE,11543,NSE,NSE|11543
56,Colgate Palmolive (India) Limited,COLPAL,15141,NSE,NSE|15141
57,Computer Age Management Services Limited,CAMS,342,NSE,NSE|342
58,Container Corporation of India Limited,CONCOR,18060,NSE,NSE|18060
59,Coromandel International Limited,COROMANDEL,739,NSE,NSE|739
60,Crompton Greaves Consumer Electricals Limited,CROMPTON,17094,NSE,NSE|17094
61,Cummins India Limited,CUMMINSIND,1901,NSE,NSE|1901
62,Cyient Limited,CYIENT,17187,NSE,NSE|17187
63,DLF Limited,DLF,14732,NSE,NSE|14732
64,Dabur India Limited,DABUR,772,NSE,NSE|772
65,Dalmia Bharat Limited,DALBHARAT,8075,NSE,NSE|8075
66,Deepak Nitrite Limited,DEEPAKNTR,19943,NSE,NSE|19943
67,Delhivery Limited,DELHIVERY,9599,NSE,NSE|9599
68,Divi's Laboratories Limited,DIVISLAB,10940,NSE,NSE|10940
69,Dixon Technologies (India) Limited,DIXON,21690,NSE,NSE|21690
